code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
WCP,Whitecap Resources Inc.,11.45,14.058120192,6.3,0.6457,10.247787,1.13,0.885,6035.806,11.91,6.87,1764288000,2025-11-28,1,66.66666666666666
SU,Suncor Energy Inc.,62.52,75.730853888,3.84,0.53150004,14.550117,4.29,0.793,7216.353,64.14,43.59,1764720000,2025-12-03,6,43.4273916035788
GWO,Great-West Lifeco Inc.,64.56,59.859603456,3.77,0.5534,15.018562,4.31,0.715,1604.522,65.0,44.89,1764720000,2025-12-03,6,43.818222321229676
OTEX,Open Text Corporation,47.62,12.062240768,3.17,0.5563,17.63197,2.69,1.076,1076.866,56.0,32.41,1764892800,2025-12-05,8,46.92995988892318
RCI.B,Rogers Communications Inc.,54.24,29.900828672,3.64,0.1604,4.4065757,12.47,0.828,1926.006,56.15,32.42,1765152000,2025-12-08,11,67.30413325107958
MFI,Maple Leaf Foods Inc.,25.11,3.125710336,3.63,0.6065,16.167742,1.55,1.019,323.69,32.31111,17.43111,1765324800,2025-12-10,13,44.05278837664382
CVE,Cenovus Energy Inc.,24.56,46.537555968,3.24,0.4393,14.260116,1.73,0.722,10957.732,26.36,14.48,1765756800,2025-12-15,18,69.61325966850828
IGM,IGM Financial Inc.,57.28,13.573706752,3.92,0.5172,13.209195,4.35,1.17,319.064,57.755,38.89,1767052800,2025-12-30,33,47.28722036513243
HWX,Headwater Exploration Inc.,8.73,2.09156288,5.02,0.589,12.0,0.73,1.085,667.209,9.15,4.75,1767139200,2025-12-31,34,83.78947368421053
NTR,Nutrien Ltd.,80.11,39.142817792,3.82,0.5863,15.374046,5.24,1.146,1729.8,88.03,62.89,1767139200,2025-12-31,34,27.381141675942118
POW,Power Corporation of Canada,72.03,45.96406272,3.4,0.50630003,15.22152,4.74,0.987,2377.361,72.49,41.88,1767139200,2025-12-31,34,71.99140401146131
