code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
SU,Suncor Energy Inc.,62.84,76.131221504,3.82,0.53150004,14.62704,4.29,0.793,7034.273,64.14,43.59,1764720000,2025-12-03,1,44.16150493232392
GWO,Great-West Lifeco Inc.,64.79,59.67464448,3.78,0.5534,14.9721575,4.31,0.715,1508.771,65.48,44.89,1764720000,2025-12-03,1,44.33058587658722
OTEX,Open Text Corporation,47.05,12.006290432,3.18,0.5563,17.681646,2.67,1.076,1044.409,56.0,32.41,1764892800,2025-12-05,3,45.171243443381684
RCI.B,Rogers Communications Inc.,54.63,29.677729792,3.67,0.1604,4.373697,12.47,0.828,1933.73,56.15,32.42,1765152000,2025-12-08,6,68.50709438618136
MFI,Maple Leaf Foods Inc.,25.31,3.1282048,3.63,0.6065,16.180645,1.55,1.019,313.961,32.31111,17.43111,1765324800,2025-12-10,8,45.200162238664085
CVE,Cenovus Energy Inc.,24.93,47.25438464,3.19,0.4393,14.479768,1.73,0.722,10790.977,26.36,14.48,1765756800,2025-12-15,13,72.16850828729281
IGM,IGM Financial Inc.,57.05,13.505200128,3.94,0.5172,13.142529,4.35,1.17,317.746,57.9,38.89,1767052800,2025-12-30,28,46.69580869118024
HWX,Headwater Exploration Inc.,8.92,2.153641216,4.88,0.589,12.356165,0.73,1.085,655.558,9.15,4.75,1767139200,2025-12-31,29,87.78947368421053
NTR,Nutrien Ltd.,81.3,40.9357312,3.65,0.5863,16.264479,5.18,1.146,1685.761,88.03,62.89,1767139200,2025-12-31,29,29.27333439338527
POW,Power Corporation of Canada,71.15,45.358850048,3.44,0.50630003,15.021097,4.74,0.987,2316.725,72.49,41.88,1767139200,2025-12-31,29,69.8901623686724
