code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
WCP,Whitecap Resources Inc.,11.62,13.900299264,6.37,0.6457,10.132743,1.13,0.885,6067.259,11.91,6.87,1764288000,2025-11-28,2,69.14119359534206
SU,Suncor Energy Inc.,62.45,75.852177408,3.84,0.53150004,14.573427,4.29,0.793,7251.601,64.14,43.59,1764720000,2025-12-03,7,43.2668043129158
GWO,Great-West Lifeco Inc.,64.53,59.702386688,3.78,0.5534,14.979118,4.31,0.715,1622.372,65.0,44.89,1764720000,2025-12-03,7,43.75139229226999
OTEX,Open Text Corporation,47.02,12.110560256,3.16,0.5563,17.637037,2.7,1.076,1083.519,56.0,32.41,1764892800,2025-12-05,9,45.07867941993214
RCI.B,Rogers Communications Inc.,53.88,29.51448576,3.69,0.1604,4.349639,12.47,0.828,1911.579,56.15,32.42,1765152000,2025-12-08,12,66.1937075879087
MFI,Maple Leaf Foods Inc.,25.01,3.131946752,3.62,0.6065,16.2,1.55,1.019,321.77,32.31111,17.43111,1765324800,2025-12-10,14,43.4791014456337
CVE,Cenovus Energy Inc.,25.2,46.330048512,3.26,0.4393,14.196531,1.73,0.722,10831.109,26.36,14.48,1765756800,2025-12-15,19,74.03314917127071
IGM,IGM Financial Inc.,56.61,13.531185152,3.93,0.5172,13.167816,4.35,1.17,318.316,57.54,38.89,1767052800,2025-12-30,34,45.5644124453587
HWX,Headwater Exploration Inc.,8.81,2.084399872,5.04,0.589,11.958903,0.73,1.085,675.611,9.15,4.75,1767139200,2025-12-31,35,85.47368421052633
NTR,Nutrien Ltd.,79.35,38.924169216,3.84,0.5863,15.3174,5.23,1.146,1728.996,88.03,62.89,1767139200,2025-12-31,35,26.1726824614406
POW,Power Corporation of Canada,70.75,45.887614976,3.4,0.50630003,15.196203,4.74,0.987,2382.779,72.49,41.88,1767139200,2025-12-31,35,68.93505253104107
