code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
SU,Suncor Energy Inc.,62.5,76.240412672,3.82,0.53150004,14.648019,4.29,0.793,6873.575,64.14,43.59,1764720000,2025-12-03,4,43.38150952053222
GWO,Great-West Lifeco Inc.,65.07,59.915083776,3.77,0.5534,15.032483,4.31,0.715,1530.022,65.48,44.89,1764720000,2025-12-03,4,44.9543328135442
OTEX,Open Text Corporation,47.11,11.965599744,3.19,0.5563,17.55597,2.68,1.076,1056.808,56.0,32.41,1764892800,2025-12-05,6,45.356371490280786
RCI.B,Rogers Communications Inc.,54.5,29.726703616,3.66,0.1604,4.380914,12.47,0.828,1937.082,56.15,32.42,1765152000,2025-12-08,9,68.10610734114742
MFI,Maple Leaf Foods Inc.,25.0,3.156892416,3.6,0.6065,16.329033,1.55,1.019,318.664,32.31111,17.43111,1765324800,2025-12-10,11,43.421732752532684
CVE,Cenovus Energy Inc.,24.76,47.0280192,3.21,0.4393,14.410404,1.73,0.722,10849.003,26.36,14.48,1765756800,2025-12-15,16,70.99447513812154
IGM,IGM Financial Inc.,57.43,13.476852736,3.94,0.5172,13.114943,4.35,1.17,317.667,57.9,38.89,1767052800,2025-12-30,31,47.6729236307534
HWX,Headwater Exploration Inc.,8.8,2.129764864,4.93,0.589,12.219178,0.73,1.085,661.664,9.15,4.75,1767139200,2025-12-31,32,85.26315789473685
NTR,Nutrien Ltd.,80.68,39.502372864,3.78,0.5863,15.634617,5.2,1.146,1683.73,88.03,62.89,1767139200,2025-12-31,32,28.287486086818266
POW,Power Corporation of Canada,71.91,45.326999552,3.44,0.50630003,15.01055,4.74,0.987,2341.143,72.49,41.88,1767139200,2025-12-31,32,71.70487106017191
