code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFC,Manulife Financial Corporation,47.8,81.991458816,3.62,0.5513,15.596154,3.12,0.872,6077.871,49.82,36.93,1764115200,2025-11-26,2,29.434064446249653
WCP,Whitecap Resources Inc.,11.58,13.912439808,6.37,0.6457,10.141593,1.13,0.885,6066.219,11.91,6.87,1764288000,2025-11-28,4,68.55895196506549
SU,Suncor Energy Inc.,62.99,75.74298624,3.84,0.53150004,14.552447,4.29,0.793,7290.128,64.14,43.59,1764720000,2025-12-03,9,44.505620555173195
GWO,Great-West Lifeco Inc.,63.01,59.31399168,3.8,0.5534,14.881671,4.31,0.715,1675.75,64.27,44.89,1764720000,2025-12-03,9,40.365337491646244
OTEX,Open Text Corporation,45.94,11.858787328,3.22,0.5563,17.334572,2.69,1.076,1070.86,56.0,32.41,1764892800,2025-12-05,11,41.746374575748234
RCI.B,Rogers Communications Inc.,53.25,29.389330432,3.7,0.1604,4.331195,12.47,0.828,1866.307,56.15,32.42,1765152000,2025-12-08,14,64.25046267735965
MFI,Maple Leaf Foods Inc.,25.08,3.190569472,3.56,0.6065,16.503225,1.55,1.019,324.554,32.31111,17.43111,1765324800,2025-12-10,16,43.880682297340776
CVE,Cenovus Energy Inc.,25.48,47.537348608,3.17,0.4393,14.566474,1.73,0.722,10963.02,26.36,14.48,1765756800,2025-12-15,21,75.96685082872928
IGM,IGM Financial Inc.,55.51,13.245348864,4.01,0.5172,12.889655,4.35,1.17,319.346,57.54,38.89,1767052800,2025-12-30,36,42.73592183080483
HWX,Headwater Exploration Inc.,8.76,2.067686528,5.08,0.589,11.863013,0.73,1.085,710.125,9.15,4.75,1767139200,2025-12-31,37,84.42105263157895
NTR,Nutrien Ltd.,77.62,38.438285312,3.89,0.5863,15.126195,5.23,1.146,1677.982,88.03,62.89,1767139200,2025-12-31,37,23.42184767053586
POW,Power Corporation of Canada,68.71,44.766380032,3.49,0.50630003,14.824895,4.74,0.987,2339.895,71.97,41.88,1767139200,2025-12-31,37,64.06399235912127
